City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Lethbridge,CA,49.7,-112.8186,276.21,60,75,0.0,broken clouds
164,Ancud,CL,-41.8697,-73.8203,284.91,68,8,4.9,clear sky
165,Oktyabr'skoye,RU,43.0645,44.7417,262.23,92,99,2.0,light snow
166,Grande Prairie,CA,55.1667,-118.8027,266.25,93,100,1.54,fog
167,Hasaki,JP,35.7333,140.8333,281.05,43,7,2.15,clear sky
168,Daru,PG,-9.0763,143.2092,300.8,74,100,2.22,overcast clouds
169,Katsuura,JP,35.1333,140.3,279.35,51,37,2.13,scattered clouds
170,Kenai,US,60.5544,-151.2583,272.18,80,100,8.75,light snow
171,Tuban,ID,-6.8976,112.0649,299.14,83,98,3.52,overcast clouds
172,San Patricio,US,28.017,-97.5169,297.89,65,0,4.31,clear sky
173,Parchim,DE,53.4263,11.8488,278.55,85,100,8.02,light rain
174,Senador José Porfírio,BR,-2.5908,-51.9542,296.96,93,93,1.37,overcast clouds
175,Taoudenni,ML,22.6783,-3.9836,290.79,14,89,3.74,overcast clouds
176,Viedma,AR,-40.8135,-62.9967,296.07,55,89,5.36,overcast clouds
177,Volchansk,RU,59.9378,60.081,258.78,60,100,5.5,overcast clouds
178,Caravelas,BR,-17.7125,-39.2481,298.23,86,73,3.1,broken clouds
179,Sayyan,YE,15.1718,44.3244,286.6,58,69,1.58,broken clouds
180,Kununurra,AU,-15.7667,128.7333,304.14,70,40,1.03,scattered clouds
181,Arrondissement de Brive-la-Gaillarde,FR,45.25,1.5,281.64,97,100,1.26,overcast clouds
182,Bathsheba,BB,13.2167,-59.5167,299.49,73,40,7.2,scattered clouds
183,Antofagasta,CL,-23.65,-70.4,293.75,80,4,4.56,clear sky
184,Catuday,PH,16.2923,119.8062,296.92,74,60,4.71,broken clouds
185,Moree,AU,-29.4667,149.85,301.78,39,88,5.8,overcast clouds
186,Muisne,EC,0.6,-80.0333,297.06,89,68,2.93,broken clouds
187,Narsaq,GL,60.9167,-46.05,268.27,71,100,3.05,overcast clouds
188,Shumskiy,RU,54.8318,99.1328,250.9,95,88,0.79,overcast clouds
189,Alenquer,BR,-1.9417,-54.7383,298.64,76,82,0.63,broken clouds
190,Maragogi,BR,-9.0122,-35.2225,298.99,80,20,5.67,few clouds
191,Barcelos,PT,41.5388,-8.6151,287.23,94,100,4.86,overcast clouds
192,Qarqīn,AF,37.4185,66.0436,267.92,63,100,10.92,overcast clouds
193,Charter Township of Clinton,US,42.587,-82.9199,276.63,82,100,2.57,overcast clouds
194,Faanui,PF,-16.4833,-151.75,299.84,74,99,5.29,light rain
195,Oddur,SO,4.1213,43.8894,294.52,83,64,5.31,broken clouds
196,Ust-Kuyga,RU,70.0167,135.6,223.18,100,84,2.12,broken clouds
197,Walla Walla,US,46.0646,-118.343,281.18,93,100,2.06,fog
198,Toccoa,US,34.5773,-83.3324,284.95,47,0,4.63,clear sky
199,Khammam,IN,17.25,80.15,288.69,84,0,0.81,clear sky
200,Denpasar,ID,-8.65,115.2167,300.96,78,75,2.57,broken clouds
201,Khani,GE,41.9563,42.9566,271.91,69,14,3.47,few clouds
202,Raja,SS,8.4596,25.678,293.01,26,9,3.08,clear sky
203,Santa Cruz de la Sierra,BO,-17.8,-63.1667,298.85,83,75,4.12,broken clouds
204,Cabo San Lucas,MX,22.8909,-109.9124,299.55,51,0,7.2,clear sky
205,Aklavik,CA,68.2191,-135.0107,248.15,77,75,1.54,broken clouds
206,Tanout,NE,14.9709,8.8879,286.73,29,0,5.61,clear sky
207,Vaini,TO,-21.2,-175.2,304.24,74,75,6.17,light rain
208,Les Cayes,HT,18.2,-73.75,296.88,78,43,1.51,scattered clouds
209,Mahrīz,IR,31.5917,54.4318,271.43,93,98,2.36,overcast clouds
210,Kalabo,ZM,-14.97,22.6814,291.49,93,100,1.73,overcast clouds
211,Gravdal,NO,68.1214,13.5031,274.5,92,100,7.13,light snow
212,Kāzerūn,IR,29.6195,51.6541,280.85,80,31,0.92,scattered clouds
213,Quatre Cocos,MU,-20.2078,57.7625,297.21,79,21,4.4,light rain
214,Nabire,ID,-3.3667,135.4833,300.38,75,100,0.77,overcast clouds
215,Bengkulu,ID,-3.8004,102.2655,296.7,90,67,1.71,broken clouds
216,Camacha,PT,33.0833,-16.3333,289.83,72,75,2.57,broken clouds
217,San Juan,AR,-31.5375,-68.5364,303.79,26,39,7.59,scattered clouds
218,Avarua,CK,-21.2078,-159.775,299.18,94,100,6.69,moderate rain
219,Santa Rosa,PH,14.3122,121.1114,299.14,81,83,4.03,broken clouds
220,Feijó,BR,-8.1642,-70.3536,296.83,95,62,0.82,broken clouds
221,Alyangula,AU,-13.8483,136.4192,302.01,72,100,4.34,overcast clouds
222,Nipawin,CA,53.3668,-104.0009,264.17,92,100,1.03,overcast clouds
223,Lompoc,US,34.6391,-120.4579,287.6,75,40,3.6,scattered clouds
224,Okha,RU,53.5739,142.9478,252.45,94,92,1.66,overcast clouds
225,Souillac,MU,-20.5167,57.5167,297.36,83,75,2.06,broken clouds
226,Pisco,PE,-13.7,-76.2167,295.18,78,0,4.63,clear sky
227,Roebourne,AU,-20.7833,117.1333,303.95,39,0,4.43,clear sky
228,Cockburn Town,TC,21.4612,-71.1419,298.42,74,5,6.32,clear sky
229,Dolores,AR,-36.3132,-57.6792,293.68,78,35,6.15,scattered clouds
230,Iquitos,PE,-3.7481,-73.2472,297.17,88,75,1.03,broken clouds
